route_path,provider,protection,notes
app/api/events/[slug]/register/route.ts,clerk,authenticated,Event registration uses Clerk session
app/api/news/rsvp/route.ts,none,public,RSVP submissions accepted without login
app/api/newsletter/subscribe/route.ts,none,public,Newsletter subscription is public
app/api/newsletter/unsubscribe/route.ts,none,public,Newsletter unsubscribe is public
app/api/orders/[orderId]/generate-invoice/route.ts,clerk,authenticated,Invoice generation uses Clerk session
app/api/orders/[orderId]/pay-now/route.ts,clerk,authenticated,Pay-now uses Clerk session
app/api/orders/[orderId]/pay/route.ts,clerk,authenticated,Order payment uses Clerk session
app/api/orders/addresses/route.ts,clerk,authenticated,Order address lookup uses Clerk session
app/api/orders/count/route.ts,clerk,authenticated,Order count uses Clerk session
app/api/orders/refund/route.ts,clerk,authenticated,Refund uses Clerk session
app/api/orders/route.ts,clerk,authenticated,Order creation uses Clerk session
app/api/orders/send-email/route.ts,clerk,authenticated,Order email uses Clerk session
app/api/promotions/campaigns/route.ts,clerk,admin,Campaign listing analytics requires Clerk admin guard
app/api/promotions/eligibility/route.ts,none,public,Eligibility scoring kept public for client usage
app/api/promotions/track/route.ts,none,public,Promotion track endpoint is public
app/api/user-data/route.ts,clerk,authenticated,User data endpoint uses Clerk session
app/api/user/addresses/route.ts,clerk,authenticated,User address endpoint uses Clerk session
app/api/user/business-apply/route.ts,clerk,authenticated,Business apply uses Clerk session
app/api/user/cancel-application/route.ts,clerk,authenticated,Application cancellation uses Clerk session
app/api/user/combined-data/route.ts,clerk,authenticated,Combined data uses Clerk session
app/api/user/dashboard/stats/route.ts,clerk,authenticated,Dashboard stats uses Clerk session
app/api/user/employee-status/route.ts,clerk,authenticated,Employee status uses Clerk session
app/api/user/notifications/[id]/read/route.ts,clerk,authenticated,Notification read uses Clerk session
app/api/user/notifications/[id]/route.ts,clerk,authenticated,Notification detail uses Clerk session
app/api/user/notifications/route.ts,clerk,authenticated,Notifications list uses Clerk session
app/api/user/orders/count/route.ts,clerk,authenticated,User order count uses Clerk session
app/api/user/orders/route.ts,clerk,authenticated,User orders uses Clerk session
app/api/user/points/route.ts,clerk,authenticated,Reward points (calculations) use Clerk session
app/api/user/profile/route.ts,clerk,authenticated,Profile updates use Clerk session
app/api/user/request-access/route.ts,clerk,authenticated,Request access uses Clerk session
app/api/user/reviews/route.ts,clerk,authenticated,User reviews use Clerk session
app/api/user/reward-points/route.ts,none,public,Placeholder endpoint; no auth enforced
app/api/user/segment-data/route.ts,clerk,authenticated,Segment data uses Clerk session
app/api/user/settings/route.ts,clerk,authenticated,Settings use Clerk session
app/api/user/status/route.ts,clerk,authenticated,User status uses Clerk session
app/api/webhook/route.ts,none,public,General webhook receiver (auth depends on upstream secret headers)
app/api/webhooks/twilio/status/route.ts,none,public,Twilio status webhook validated via signature not session
